Date,Price,Open,High,Low,Vol.,Change %
11/18/2021,35218.60,34822.90,35535.20,34348.00,4.42M,2.06%
11/19/2021,35139.50,35258.20,36445.30,33240.00,5.10M,-0.22%
11/22/2021,36049.60,35139.50,36564.00,34822.90,6.22M,2.59%
11/23/2021,35376.90,36010.00,36010.00,34981.20,2.26M,-1.87%
11/24/2021,36445.30,35574.80,36484.90,35297.80,5.19M,3.02%
11/25/2021,35891.30,36722.30,36722.30,35851.80,3.38M,-1.52%
11/26/2021,35970.50,36484.90,36564.00,34822.90,5.20M,0.22%
11/29/2021,35218.60,35218.60,35614.30,34902.00,4.10M,-2.09%
11/30/2021,35139.50,35535.20,36128.80,34506.30,3.20M,-0.22%
12/1/2021,35060.30,35139.50,35376.90,34585.50,2.21M,-0.23%
12/2/2021,34981.20,35020.80,35930.90,34822.90,1.72M,-0.23%
12/3/2021,33240.00,35218.60,35218.60,33240.00,2.77M,-4.98%
12/6/2021,33200.50,34031.50,34031.50,32963.00,3.59M,-0.12%
12/7/2021,34506.30,33279.60,34625.00,33279.60,2.08M,3.93%
12/8/2021,34822.90,34585.50,35060.30,34387.60,1.44M,0.92%
12/9/2021,34822.90,34783.30,34941.60,34466.80,1.23M,0.00%
12/10/2021,35297.80,35060.30,35772.60,35060.30,2.60M,1.36%
12/13/2021,36010.00,36010.00,36247.50,35693.50,3.12M,2.02%
12/14/2021,35851.80,36168.30,36168.30,35772.60,2.15M,-0.44%
12/15/2021,35535.20,35772.60,36010.00,35416.50,1.79M,-0.88%
12/16/2021,35535.20,35614.30,35614.30,34822.90,2.11M,0.00%
12/17/2021,35535.20,35535.20,36010.00,34902.00,2.33M,0.00%
12/20/2021,35297.80,35456.00,35574.80,35218.60,1.55M,-0.67%
12/21/2021,34664.60,35218.60,35337.30,34664.60,3.51M,-1.79%
12/22/2021,34268.90,34822.90,35020.80,33991.90,3.56M,-1.14%
